,연도,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,합계,"1,940","2,012","2,099","2,180","2,253","2,320","2,368","2,437","2,491","2,550"
1,서울,297,301,306,308,312,313,312,316,318,319
2,부산,118,121,126,130,133,137,140,143,147,150
3,대구,104,107,111,113,116,118,119,122,121,123
4,인천,114,125,136,144,151,158,164,168,168,169
5,광주,57,59,61,63,65,66,68,69,70,71
6,대전,61,62,63,65,66,67,67,69,69,71
7,울산,49,51,53,54,55,56,57,58,58,59
8,세종,5,7,9,11,13,15,16,18,19,19
9,경기,453,470,492,516,539,562,577,600,621,638
10,강원,65,67,69,72,75,77,78,81,83,85
11,충북,67,70,73,76,79,82,84,87,89,92
12,충남,89,93,97,102,106,109,112,115,118,121
13,전북,78,81,84,87,89,92,93,95,96,98
14,전남,80,84,90,95,99,103,106,110,117,124
15,경북,121,126,131,135,139,142,145,148,150,152
16,경남,149,151,156,163,167,169,172,179,183,190
17,제주,33,38,44,47,50,55,60,62,66,69
